"Date Opened","Time Opened","Opening Price","Legs","Premium","Closing Price","Date Closed","Time Closed","Avg. Closing Cost","Reason For Close","P/L","P/L %","No. of Contracts","Funds at Close","Margin Req.","Strategy","Opening Commissions + Fees","Closing Commissions + Fees","Opening Short/Long Ratio","Closing Short/Long Ratio","Gap","Movement","Max Profit","Max Loss"
"2023-12-28","09:44:00",4788.57,"18 Jan 8 4750 P STO 15.40 | 18 Jan 8 4835 C STO 14.40 | 18 Jan 22 4750 P BTO 30.60 | 18 Jan 22 4835 C BTO 35.10",-3600,4725.14,"2024-01-02","15:04:00",-2715,"Above Delta",-16114.32,-24.86777777777778,18,793089.92,64800,"",128.16,56.16,0.454,0.574,4.86,2.13,4.86,-24.31
"2023-12-27","09:35:00",4777.08,"18 Jan 5 4735 P STO 14.65 | 18 Jan 5 4830 C STO 14.95 | 18 Jan 19 4735 P BTO 30.15 | 18 Jan 19 4830 C BTO 35.55",-3620,4714.58,"2024-01-03","10:12:00",-2730,"Above Delta",-16204.32,-24.86850828729282,18,776885.6,65160,"",128.16,56.16,0.451,0.523,-1.3,3.63,5.39,-27.07
"2023-12-21","09:35:00",4737.86,"16 Jan 2 4695 P STO 16.40 | 16 Jan 2 4790 C STO 15.95 | 16 Jan 16 4695 P BTO 33.55 | 16 Jan 16 4790 C BTO 37.45",-3875,4765.57,"2023-12-29","15:55:00",-4610,"Below Short/Long Ratio",11596.16,18.70348387096774,16,809204.24,62000,"",113.92,49.92,0.456,0.08,25.94,13.57,19.48,-2.84
"2023-12-15","09:36:00",4710.89,"19 Dec 26 4675 P STO 13.60 | 19 Dec 26 4755 C STO 13.25 | 19 Jan 8 4675 P BTO 26.80 | 19 Jan 8 4755 C BTO 32.15",-3220,4767.46,"2023-12-20","10:01:00",-3840,"Below Delta",11585.44,18.93664596273292,19,760443.12,61180,"",135.28,59.28,0.455,0.439,-5.32,-3.34,22.36,-0.93
"2023-12-14","09:35:00",4733.88,"21 Dec 26 4695 P STO 14.80 | 21 Dec 26 4785 C STO 14.75 | 21 Jan 8 4695 P BTO 27.35 | 21 Jan 8 4785 C BTO 31.85",-2975,4759.08,"2023-12-22","12:08:00",-4755,"Below Short/Long Ratio",37164.96,59.48773109243698,21,797608.08,62475,"",149.52,65.52,0.499,0.098,13.95,12.84,70.92,-14.29
"2023-12-13","09:35:00",4650.75,"21 Dec 22 4615 P STO 14.35 | 21 Dec 22 4700 C STO 12.75 | 21 Jan 5 4615 P BTO 26.85 | 21 Jan 5 4700 C BTO 30.20",-3005,4734.82,"2023-12-14","09:32:00",-2970,"Below Delta",-950.04,-1.5054908485856904,21,748857.68,63105,"",149.52,65.52,0.475,0.658,2.5,4.55,8.15,-4.16
"2023-12-11","09:35:00",4599.24,"22 Dec 20 4555 P STO 16.15 | 22 Dec 20 4650 C STO 15.25 | 22 Jan 3 4555 P BTO 26.90 | 22 Jan 3 4650 C BTO 32.20",-2780,4672.83,"2023-12-13","14:06:00",-2895,"Below Delta",2304.72,3.768345323741007,22,749807.72,61160,"",156.64,68.64,0.531,0.601,-10.98,5.85,8.27,-2.34
"2023-12-08","09:35:00",4580.33,"20 Dec 18 4535 P STO 15.85 | 20 Dec 18 4630 C STO 15.65 | 20 Jan 2 4535 P BTO 27.65 | 20 Jan 2 4630 C BTO 33.40",-2965,4650.75,"2023-12-13","09:35:00",-3000,"Below Delta",495.2,0.8350758853288364,20,743328.28,59300,"",142.4,62.4,0.516,0.556,-9.39,4.13,8.6,-1.18
"2023-12-07","09:35:00",4572.6,"21 Dec 18 4520 P STO 17.20 | 21 Dec 18 4625 C STO 17.45 | 21 Jan 2 4520 P BTO 28.60 | 21 Jan 2 4625 C BTO 34.45",-2850,4643.04,"2023-12-12","15:29:00",-2935,"Below Delta",1569.96,2.6231578947368424,21,742833.08,59850,"",149.52,65.52,0.55,0.555,19.5,3.76,11.93,-1.75
"2023-12-06","09:35:00",4587.15,"22 Dec 15 4540 P STO 17.60 | 22 Dec 15 4645 C STO 15.30 | 22 Dec 29 4540 P BTO 28.35 | 22 Dec 29 4645 C BTO 31.20",-2675,4662.5,"2023-12-13","14:02:00",-2875,"Below Delta",4174.72,7.093831775700936,22,747503,58850,"",156.64,68.64,0.552,0.521,19.05,0.92,12.34,-15.51
"2023-12-04","09:35:00",4566.96,"22 Dec 13 4520 P STO 17.05 | 22 Dec 13 4620 C STO 16.75 | 22 Dec 27 4520 P BTO 29.10 | 22 Dec 27 4620 C BTO 32.50",-2790,4632.78,"2023-12-12","13:47:00",-2880,"Below Delta",1754.72,2.8587813620071687,22,741263.12,61380,"",156.64,68.64,0.549,0.442,-30.26,2.59,13.26,-5.91
"2023-11-30","09:35:00",4555.32,"17 Dec 11 4510 P STO 15.55 | 17 Dec 11 4605 C STO 13.85 | 17 Dec 26 4510 P BTO 30.95 | 17 Dec 26 4605 C BTO 33.75",-3540,4581.01,"2023-12-08","12:14:00",-4520,"Below Short/Long Ratio",16485.92,27.394350282485874,17,739508.4,60180,"",121.04,53.04,0.454,0.097,4.29,0.45,31.64,-2.97
"2023-11-13","10:33:00",4402.99,"18 Nov 22 4355 P STO 16.65 | 18 Nov 22 4455 C STO 14.45 | 18 Dec 6 4355 P BTO 32.80 | 18 Dec 6 4455 C BTO 31.90",-3370,4475.36,"2023-11-14","09:33:00",-3125,"Below Delta",-4594.32,-7.573887240356083,18,723022.48,60660,"",128.16,56.16,0.481,0.612,-8.58,-3.67,2.23,-6.97
"2023-11-09","09:35:00",4386.95,"18 Nov 20 4335 P STO 17.15 | 18 Nov 20 4435 C STO 15.65 | 18 Dec 4 4335 P BTO 32.65 | 18 Dec 4 4435 C BTO 34.15",-3410,4472.6,"2023-11-14","09:32:00",-3130,"Below Delta",-5224.32,-8.511436950146628,18,732661.12,61380,"",128.16,56.16,0.491,0.628,8.63,-4.46,8.21,-8.8
"2023-11-08","09:35:00",4388.77,"18 Nov 17 4335 P STO 16.10 | 18 Nov 17 4440 C STO 15.05 | 18 Dec 1 4335 P BTO 31.80 | 18 Dec 1 4440 C BTO 33.45",-3420,4472.6,"2023-11-14","09:32:00",-3150,"Below Delta",-5044.32,-8.194152046783627,18,727616.8,61560,"",128.16,56.16,0.477,0.592,5.99,4.4,9.21,-16.23
"2023-07-27","09:35:00",4605.2,"18 Aug 7 4565 P STO 14.85 | 18 Aug 7 4655 C STO 12.75 | 18 Aug 21 4565 P BTO 30.05 | 18 Aug 21 4655 C BTO 30.05",-3260,4530.29,"2023-07-27","15:46:00",-2360,"Above Delta",-16384.32,-27.921472392638037,18,689191.76,58680,"",128.16,56.16,0.459,0.688,31.51,6.94,1.69,-27.3
"2023-07-26","09:35:00",4558.11,"18 Aug 4 4510 P STO 16.25 | 18 Aug 4 4610 C STO 15.95 | 18 Aug 18 4510 P BTO 30.95 | 18 Aug 18 4610 C BTO 32.95",-3180,4491.43,"2023-08-03","09:32:00",-3555,"Above Delta",6565.68,11.470440251572327,18,737885.44,57240,"",128.16,56.16,0.504,0.456,-8.5,-0.85,31.29,-2.2
"2023-07-24","09:35:00",4555.8,"17 Aug 2 4510 P STO 16.05 | 17 Aug 2 4605 C STO 15.55 | 17 Aug 16 4510 P BTO 31.20 | 17 Aug 16 4605 C BTO 33.25",-3295,4574.3,"2023-08-01","09:32:00",-4390,"Below Short/Long Ratio",18440.92,32.921396054628225,17,731319.76,56015,"",121.04,53.04,0.49,0.088,7.05,12.41,34.45,-3.79
"2023-07-21","09:35:00",4551.59,"16 Jul 31 4505 P STO 15.00 | 16 Jul 31 4600 C STO 14.85 | 16 Aug 14 4505 P BTO 30.45 | 16 Aug 14 4600 C BTO 33.70",-3440,4572.62,"2023-07-28","13:34:00",-4405,"Below Short/Long Ratio",15276.16,27.7546511627907,16,712878.84,55040,"",113.92,49.92,0.465,0.099,15.29,1.43,31.1,-6.25
"2023-07-20","09:35:00",4561.24,"17 Jul 31 4515 P STO 17.80 | 17 Jul 31 4615 C STO 16.05 | 17 Aug 14 4515 P BTO 32.70 | 17 Aug 14 4615 C BTO 34.15",-3310,4571.23,"2023-07-28","09:32:00",-3815,"Below Short/Long Ratio",8410.92,14.947432024169183,17,697602.68,56270,"",121.04,53.04,0.506,0.087,-11.34,6.86,19.79,-9.82
