"Date Opened","Time Opened","Opening Price","Legs","Premium","Closing Price","Date Closed","Time Closed","Avg. Closing Cost","Reason For Close","P/L","P/L %","No. of Contracts","Funds at Close","Margin Req.","Strategy","Opening Commissions + Fees","Closing Commissions + Fees","Opening Short/Long Ratio","Closing Short/Long Ratio","Opening VIX","Closing VIX","Gap","Movement","Max Profit","Max Loss"
"2022-10-26","09:32:00",3830.49,"34 Oct 27 3770 P STO 9.15 | 34 Oct 27 3905 C STO 5.90 | 34 Oct 28 3770 P BTO 15.65 | 34 Oct 28 3905 C BTO 12.20",-1290,3813.66,"2022-10-27","15:16:00",-1150,"Below Short/Long Ratio",-5108.16,-11.646511627906978,34,593469.4,43860,"",242.08,106.08,0.54,0.009,28.37,27.13,-33.14,4.52,10.47,-25.58
"2022-10-19","09:32:00",3704.85,"37 Oct 20 3635 P STO 9.45 | 37 Oct 20 3790 C STO 6.60 | 37 Oct 21 3635 P BTO 15.65 | 37 Oct 21 3790 C BTO 12.25",-1195,3668.42,"2022-10-20","15:48:00",-1090,"Below Short/Long Ratio",-4263.88,-9.643514644351466,37,598577.56,44215,"",263.44,115.44,0.575,0.009,31.42,30.19,-16.87,1.74,24.69,-42.68
"2022-10-12","09:32:00",3579.74,"40 Oct 13 3485 P STO 13.30 | 40 Oct 13 3700 C STO 8.60 | 40 Oct 14 3485 P BTO 18.95 | 40 Oct 14 3700 C BTO 13.40",-1055,3682.85,"2022-10-13","15:08:00",-2005,"Profit Target",37590.4,89.07677725118484,40,602841.44,42200,"",284.8,124.8,0.677,0.098,34.31,32.37,1.99,-11.09,96.68,-33.65
"2022-10-05","09:32:00",3752.53,"30 Oct 6 3690 P STO 8.70 | 30 Oct 6 3825 C STO 5.75 | 30 Oct 7 3690 P BTO 16.55 | 30 Oct 7 3825 C BTO 11.75",-1395,3745.42,"2022-10-06","15:04:00",-1585,"Below Short/Long Ratio",5392.8,12.886021505376346,30,565251.04,41850,"",213.6,93.6,0.511,0.009,29.56,30.41,-37.68,-0.72,24.37,-7.53
"2022-09-28","09:32:00",3652.41,"26 Sep 29 3570 P STO 11.45 | 26 Sep 29 3745 C STO 6.65 | 26 Sep 30 3570 P BTO 20.45 | 26 Sep 30 3745 C BTO 13.40",-1585,3631.13,"2022-09-29","15:20:00",-1230,"Below Short/Long Ratio",-9496.24,-23.043533123028393,26,559858.24,41210,"",185.12,81.12,0.535,0.008,33.18,32.16,4.65,0.47,15.77,-30.91
"2022-09-21","09:32:00",3878.6,"48 Sep 22 3780 P STO 13.05 | 48 Sep 22 3990 C STO 8.30 | 48 Sep 23 3780 P BTO 17.75 | 48 Sep 23 3990 C BTO 11.90",-840,3759.71,"2022-09-22","10:02:00",-1320,"Above Delta",22548.48,55.92380952380952,48,569354.48,40320,"",341.76,149.76,0.72,0.702,26.73,28.34,15.47,7.2,61.9,-30.36
"2022-09-14","09:32:00",3941.61,"35 Sep 15 3870 P STO 9.60 | 35 Sep 15 4015 C STO 5.80 | 35 Sep 16 3870 P BTO 15.45 | 35 Sep 16 4015 C BTO 11.20",-1135,3902.27,"2022-09-15","15:54:00",-1225,"Below Short/Long Ratio",2791.6,7.027312775330395,35,546806,39725,"",249.2,109.2,0.578,0.008,27,26.57,8.04,0.88,48.02,-30.84
"2022-09-07","09:32:00",3911.07,"41 Sep 8 3850 P STO 9.45 | 41 Sep 8 3985 C STO 5.90 | 41 Sep 9 3850 P BTO 14.85 | 41 Sep 9 3985 C BTO 10.15",-975,3997.88,"2022-09-08","10:56:00",-1050,"Below Delta",2655.16,6.642051282051281,41,544014.4,39975,"",291.92,127.92,0.614,0.663,26.72,24.39,1.24,1.64,21.54,-14.36
"2022-08-31","09:32:00",3996.92,"32 Sep 1 3940 P STO 8.60 | 32 Sep 1 4065 C STO 5.40 | 32 Sep 2 3940 P BTO 15.15 | 32 Sep 2 4065 C BTO 11.15",-1240,3923.66,"2022-09-01","09:56:00",-1295,"Above Delta",1432.32,3.6096774193548384,32,541359.24,39680,"",227.84,99.84,0.532,0.666,26.01,26.8,14.51,-3.75,11.69,-12.1
"2022-08-17","09:32:00",4273.11,"52 Aug 18 4225 P STO 6.15 | 52 Aug 18 4325 C STO 4.15 | 52 Aug 19 4225 P BTO 10.55 | 52 Aug 19 4325 C BTO 7.55",-790,4281.55,"2022-08-18","15:55:00",-565,"Exited at Specified Time",-12232.48,-29.777215189873413,52,539926.92,41080,"",370.24,162.24,0.569,0.017,19.91,19.58,-24.8,-7.29,30.38,-28.48
