"Date Opened","Time Opened","Opening Price","Legs","Premium","Closing Price","Date Closed","Time Closed","Avg. Closing Cost","Reason For Close","P/L","P/L %","No. of Contracts","Funds at Close","Margin Req.","Strategy","Opening Commissions + Fees","Closing Commissions + Fees","Opening Short/Long Ratio","Closing Short/Long Ratio","Opening VIX","Closing VIX","Gap","Movement","Max Profit","Max Loss"
"2023-02-21","10:15:00",4024.34,"34 Mar 1 3980 P STO 29.80 | 34 Mar 1 4085 C STO 21.30 | 34 Mar 3 3980 P BTO 35.30 | 34 Mar 3 4085 C BTO 26.75",-1105,3945.32,"2023-03-01","14:35:00",-925,"Exited at Specified Time",-6468.16,-17.21628959276018,34,1027992.88,37570,"",242.08,106.08,0.824,0.787,22.77,20.99,-26.74,-28.01,29.86,-27.6
"2023-02-14","10:15:00",4156.25,"34 Feb 22 4120 P STO 25.00 | 34 Feb 22 4205 C STO 18.70 | 34 Feb 24 4120 P BTO 29.85 | 34 Feb 24 4205 C BTO 24.30",-1055,3992.98,"2023-02-22","14:35:00",125,"Exited at Specified Time",-40468.16,-112.81895734597155,34,1034461.04,35870,"",242.08,106.08,0.807,1.008,18.94,22.55,-10.59,29.55,10.9,-110.9
"2023-02-07","10:15:00",4099.5,"40 Feb 15 4050 P STO 31.70 | 40 Feb 15 4165 C STO 23.50 | 40 Feb 17 4050 P BTO 36.25 | 40 Feb 17 4165 C BTO 27.90",-905,4115.23,"2023-02-15","09:32:00",-1475,"Below Short/Long Ratio",22390.4,61.85193370165746,40,1074929.2,36200,"",284.8,124.8,0.86,0.128,19.73,18.72,-5.73,-5.85,81.77,-2.76
"2023-01-31","10:15:00",4032.66,"52 Feb 8 3985 P STO 32.95 | 52 Feb 8 4105 C STO 23.60 | 52 Feb 10 3985 P BTO 36.45 | 52 Feb 10 4105 C BTO 26.85",-685,4141.26,"2023-02-01","15:37:00",-740,"Below Delta",2327.52,6.534306569343065,52,1052538.8,35620,"",370.24,162.24,0.893,0.9,19.8,17.88,3.08,11.81,21.17,-2.92
"2023-01-24","10:15:00",4005.6,"19 Feb 1 3965 P STO 30.25 | 19 Feb 1 4070 C STO 21.25 | 19 Feb 3 3965 P BTO 39.25 | 19 Feb 3 4070 C BTO 30.40",-1825,4044.7,"2023-02-01","14:33:00",-2885,"Below Short/Long Ratio",19945.44,57.521095890410955,19,1050211.28,34675,"",135.28,59.28,0.739,0.286,20.13,19.63,-18.07,3.86,59.45,-9.04
"2023-01-17","10:15:00",4010.21,"34 Jan 25 3975 P STO 22.95 | 34 Jan 25 4060 C STO 17.25 | 34 Jan 27 3975 P BTO 27.85 | 34 Jan 27 4060 C BTO 22.65",-1040,4017.17,"2023-01-24","15:16:00",-1525,"Below Short/Long Ratio",16141.84,45.65,34,1030265.84,35360,"",242.08,106.08,0.796,0.299,19.63,19.22,0.19,10.93,51.44,-70.19
"2023-01-10","10:15:00",3908.31,"40 Jan 18 3860 P STO 32.10 | 40 Jan 18 3980 C STO 24.35 | 40 Jan 20 3860 P BTO 36.50 | 40 Jan 20 3980 C BTO 28.70",-885,4000.94,"2023-01-13","15:38:00",-920,"Below Delta",990.4,2.79774011299435,40,1014124,35400,"",284.8,124.8,0.866,0.796,21.73,18.04,-3.52,19.74,42.94,-7.91
"2023-01-03","10:15:00",3826.47,"11 Jan 11 3785 P STO 30.60 | 11 Jan 11 3890 C STO 22.15 | 11 Jan 13 3785 P BTO 45.50 | 11 Jan 13 3890 C BTO 37.10",-2995,3920.65,"2023-01-09","09:33:00",-2775,"Below Delta",-2532.64,-7.687479131886477,11,1013133.6,32945,"",78.32,34.32,0.639,0.635,23.32,21.66,13.79,-26.82,15.69,-6.51
"2022-12-27","10:15:00",3827.97,"18 Jan 4 3790 P STO 25.55 | 18 Jan 4 3885 C STO 19.65 | 18 Jan 6 3790 P BTO 35.05 | 18 Jan 6 3885 C BTO 29.35",-1930,3821.52,"2023-01-03","15:48:00",-2520,"Below Short/Long Ratio",10435.68,30.039378238341968,18,1015666.24,34740,"",128.16,56.16,0.702,0.297,22.49,22.85,-1.48,-15.37,33.42,-1.3
"2022-12-20","10:15:00",3823.96,"25 Dec 28 3790 P STO 26.40 | 25 Dec 28 3880 C STO 18.35 | 25 Dec 30 3790 P BTO 33.00 | 25 Dec 30 3880 C BTO 25.25",-1360,3835.2,"2022-12-27","12:57:00",-1610,"Below Short/Long Ratio",5994,17.629411764705882,25,1005230.56,34000,"",178,78,0.768,0.298,22.2,21.81,-7.19,13.49,29.04,-8.82
