"Date Opened","Time Opened","Opening Price","Legs","Premium","Closing Price","Date Closed","Time Closed","Avg. Closing Cost","Reason For Close","P/L","P/L %","No. of Contracts","Funds at Close","Margin Req.","Strategy","Opening Commissions + Fees","Closing Commissions + Fees","Opening Short/Long Ratio","Closing Short/Long Ratio","Gap","Movement","Max Profit","Max Loss"
"2024-02-05","09:45:00",4947.69,"94 Feb 26 4885 P STO 26.20 | 94 Feb 26 5025 C STO 22.85 | 94 Mar 4 4885 P BTO 33.20 | 94 Mar 4 5025 C BTO 31.15",-1560,5044.41,"2024-02-22","09:33:00",-2030,"Below Delta",43217.44,29.471794871794877,94,2788972.96,146640,"",669.28,293.28,0.762,0.621,-1.42,-9.5,46.79,-7.37
"2024-02-02","09:45:00",4918.34,"93 Feb 23 4855 P STO 28.20 | 93 Feb 23 4995 C STO 24.20 | 93 Mar 1 4855 P BTO 35.25 | 93 Mar 1 4995 C BTO 32.40",-1555,5024.58,"2024-02-09","14:26:00",-1590,"Below Delta",2302.68,1.5922829581993567,93,2742773.52,144615,"",662.16,290.16,0.775,0.797,9.87,2.28,12.22,-2.25
"2024-02-01","09:45:00",4871.29,"95 Feb 22 4810 P STO 28.25 | 95 Feb 22 4950 C STO 23.60 | 95 Feb 29 4810 P BTO 35.20 | 95 Feb 29 4950 C BTO 31.60",-1525,4983.53,"2024-02-07","10:14:00",-1630,"Below Delta",9002.2,6.213770491803279,95,2701178.08,144875,"",676.4,296.4,0.776,0.812,15.46,10.18,15.08,-4.26
"2024-01-30","09:45:00",4926.59,"75 Feb 20 4865 P STO 26.65 | 75 Feb 20 5005 C STO 24.30 | 75 Feb 27 4870 P BTO 34.40 | 75 Feb 27 5010 C BTO 30.50",-1425,5030.31,"2024-02-12","10:45:00",-1475,"Below Delta",2982,2.790175438596491,75,2745755.52,144375,"",534,234,0.785,0.762,-2.04,0.7,20.35,-10.18
"2024-01-29","09:45:00",4894.66,"126 Feb 20 4835 P STO 28.25 | 126 Feb 20 4975 C STO 24.50 | 126 Feb 26 4835 P BTO 33.20 | 126 Feb 26 4975 C BTO 30.80",-1155,5003.89,"2024-02-09","09:33:00",-1335,"Below Delta",21389.76,14.697835497835495,126,2740470.84,145530,"",897.12,393.12,0.824,0.8,1.98,1.71,45.02,-37.23
"2024-01-26","09:45:00",4894.59,"119 Feb 16 4835 P STO 28.25 | 119 Feb 16 4975 C STO 24.90 | 119 Feb 23 4835 P BTO 33.45 | 119 Feb 23 4975 C BTO 31.65",-1225,5002.4,"2024-02-09","09:32:00",-1430,"Below Delta",23176.44,15.89877551020408,119,2719081.08,145775,"",847.28,371.28,0.816,0.773,-5.25,5.68,33.88,-36.73
"2024-01-25","09:45:00",4884.35,"95 Feb 15 4825 P STO 26.40 | 95 Feb 15 4970 C STO 22.45 | 95 Feb 22 4825 P BTO 31.60 | 95 Feb 22 4975 C BTO 27.20",-1025,4994.78,"2024-02-07","13:02:00",-1075,"Below Delta",3777.2,3.8790243902439023,95,2695904.64,144875,"",676.4,296.4,0.831,0.826,18.11,-2.31,40.49,-42.44
"2024-01-24","09:45:00",4889.84,"86 Feb 14 4835 P STO 25.15 | 86 Feb 14 4970 C STO 21.10 | 86 Feb 21 4840 P BTO 31.65 | 86 Feb 21 4975 C BTO 26.25",-1195,4994.78,"2024-02-07","13:02:00",-1100,"Below Delta",-9050.64,-8.806694560669456,86,2692127.44,145770,"",612.32,268.32,0.799,0.81,23.96,1.28,29.29,-22.18
"2024-01-23","09:45:00",4854.17,"131 Feb 13 4795 P STO 26.45 | 131 Feb 13 4930 C STO 24.25 | 131 Feb 20 4795 P BTO 31.45 | 131 Feb 20 4930 C BTO 30.15",-1120,4963.36,"2024-02-02","14:03:00",-1415,"Below Delta",37303.56,25.424999999999997,131,2688351.24,146720,"",932.72,408.72,0.823,0.818,6.37,-2.63,45.09,-8.04
"2024-01-22","09:45:00",4860.41,"64 Feb 12 4800 P STO 26.60 | 64 Feb 12 4940 C STO 23.90 | 64 Feb 20 4800 P BTO 34.10 | 64 Feb 20 4950 C BTO 28.80",-1270,4967.58,"2024-02-02","14:19:00",-1340,"Below Delta",3824.64,4.705511811023621,64,2692175.88,145280,"",455.68,199.68,0.803,0.802,13.61,6.99,48.43,-15.75
